NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
231,@tazatazol9469,"Teknik Jefri ambisius kayak mau tawuran aja, juri GK prnh salah udah kalah GK trima lagi",Negatif,"teknik jefri ambisius kayak mau tawuran aja, juri gk prnh salah udah kalah gk trima lagi","['teknik', 'jefri', 'ambisius', 'kayak', 'mau', 'tawuran', 'aja', ',', 'juri', 'gk', 'prnh', 'salah', 'udah', 'kalah', 'gk', 'trima', 'lagi']","['teknik', 'jefri', 'ambisius', 'kayak', 'tawuran', 'aja', 'juri', 'gk', 'prnh', 'salah', 'udah', 'kalah', 'gk', 'trima']","['teknik', 'jefri', 'ambisius', 'kayak', 'tawur', 'aja', 'juri', 'gk', 'prnh', 'salah', 'udah', 'kalah', 'gk', 'trima']",teknik jefri ambisius kayak tawur aja juri gk prnh salah udah kalah gk trima
232,@mr_baros,Juri lupa pakai kacamata jadi el menang poin,Negatif,juri lupa pakai kacamata jadi el menang poin,"['juri', 'lupa', 'pakai', 'kacamata', 'jadi', 'el', 'menang', 'poin']","['juri', 'lupa', 'pakai', 'kacamata', 'el', 'menang', 'poin']","['juri', 'lupa', 'pakai', 'kacamata', 'el', 'menang', 'poin']",juri lupa pakai kacamata el menang poin
233,@alrawi3982,Juri gk objektif,Negatif,juri gk objektif,"['juri', 'gk', 'objektif']","['juri', 'gk', 'objektif']","['juri', 'gk', 'objektif']",juri gk objektif
234,@kmszaki2783,Yg bilang curang itu mereka enggak paham tentang tinju,Negatif,yg bilang curang itu mereka enggak paham tentang tinju,"['yg', 'bilang', 'curang', 'itu', 'mereka', 'enggak', 'paham', 'tentang', 'tinju']","['yg', 'bilang', 'curang', 'paham', 'tinju']","['yg', 'bilang', 'curang', 'paham', 'tinju']",yg bilang curang paham tinju
237,@faizalmohd2946,Para artis sok tahu pengadilnya yang lagi pakar Jefri Nicol takde gaya main tinju gaya taburan jalanan pelanggaran sebab tu point banyak kena tolak,Negatif,para artis sok tahu pengadilnya yang lagi pakar jefri nicol takde gaya main tinju gaya taburan jalanan pelanggaran sebab tu point banyak kena tolak,"['para', 'artis', 'sok', 'tahu', 'pengadilnya', 'yang', 'lagi', 'pakar', 'jefri', 'nicol', 'takde', 'gaya', 'main', 'tinju', 'gaya', 'taburan', 'jalanan', 'pelanggaran', 'sebab', 'tu', 'point', 'banyak', 'kena', 'tolak']","['artis', 'sok', 'pengadilnya', 'pakar', 'jefri', 'nicol', 'takde', 'gaya', 'main', 'tinju', 'gaya', 'taburan', 'jalanan', 'pelanggaran', 'tu', 'point', 'kena', 'tolak']","['artis', 'sok', 'adil', 'pakar', 'jefri', 'nicol', 'takde', 'gaya', 'main', 'tinju', 'gaya', 'tabur', 'jalan', 'langgar', 'tu', 'point', 'kena', 'tolak']",artis sok adil pakar jefri nicol takde gaya main tinju gaya tabur jalan langgar tu point kena tolak
239,@senaart9294,"Gua kata juga apa, beneran kan nikol dicurangi",Negatif,"gua kata juga apa, beneran kan nikol dicurangi","['gua', 'kata', 'juga', 'apa', ',', 'beneran', 'kan', 'nikol', 'dicurangi']","['gua', 'beneran', 'nikol', 'dicurangi']","['gua', 'beneran', 'nikol', 'curang']",gua beneran nikol curang
240,@TarakanTarakan-ec1kj,"Tau lah sudah kita kan.......gak usah di ungkap....
Cukup kita bully aja....SE indonesia",Negatif,"tau lah sudah kita kan.......gak usah di ungkap....
cukup kita bully aja....se indonesia","['tau', 'lah', 'sudah', 'kita', 'kan', '.......', 'gak', 'usah', 'di', 'ungkap', '....', 'cukup', 'kita', 'bully', 'aja', '....', 'se', 'indonesia']","['tau', 'gak', 'bully', 'aja', 'indonesia']","['tau', 'gak', 'bully', 'aja', 'indonesia']",tau gak bully aja indonesia
242,@bagussae633,"kl lum trima kekalahan,demo aja sambil lempar telur ...😅😅😅",Negatif,"kl lum trima kekalahan,demo aja sambil lempar telur ...😅😅😅","['kl', 'lum', 'trima', 'kekalahan', ',', 'demo', 'aja', 'sambil', 'lempar', 'telur', '...', '😅😅😅']","['kl', 'lum', 'trima', 'kekalahan', 'demo', 'aja', 'lempar', 'telur']","['kl', 'lum', 'trima', 'kalah', 'demo', 'aja', 'lempar', 'telur']",kl lum trima kalah demo aja lempar telur
245,@kontoy-hx5sv,marketing itu makin kontroversi makin cuan artis mah awoakwokw,Negatif,marketing itu makin kontroversi makin cuan artis mah awoakwokw,"['marketing', 'itu', 'makin', 'kontroversi', 'makin', 'cuan', 'artis', 'mah', 'awoakwokw']","['marketing', 'kontroversi', 'cuan', 'artis', 'mah', 'awoakwokw']","['marketing', 'kontroversi', 'cuan', 'artis', 'mah', 'awoakwokw']",marketing kontroversi cuan artis mah awoakwokw
246,@mhdozil9273,memang Jefri Nicol yg menang telak tapi ada yg curang dari pihak wasit dan juri 😂 wasit bodoh,Negatif,memang jefri nicol yg menang telak tapi ada yg curang dari pihak wasit dan juri 😂 wasit bodoh,"['memang', 'jefri', 'nicol', 'yg', 'menang', 'telak', 'tapi', 'ada', 'yg', 'curang', 'dari', 'pihak', 'wasit', 'dan', 'juri', '😂', 'wasit', 'bodoh']","['jefri', 'nicol', 'yg', 'menang', 'telak', 'yg', 'curang', 'wasit', 'juri', 'wasit', 'bodoh']","['jefri', 'nicol', 'yg', 'menang', 'telak', 'yg', 'curang', 'wasit', 'juri', 'wasit', 'bodoh']",jefri nicol yg menang telak yg curang wasit juri wasit bodoh
247,@mhdozil9273,ya namaya anak pasti di bela lah 😂,Positif,ya namaya anak pasti di bela lah 😂,"['ya', 'namaya', 'anak', 'pasti', 'di', 'bela', 'lah', '😂']","['ya', 'namaya', 'anak', 'bela']","['ya', 'namaya', 'anak', 'bela']",ya namaya anak bela
249,@tegarhaykhal05,"Gw setuju ama Abang yg baju merah tuhh, knpe di cut videonya🤬🤬🤪",Negatif,"gw setuju ama abang yg baju merah tuhh, knpe di cut videonya🤬🤬🤪","['gw', 'setuju', 'ama', 'abang', 'yg', 'baju', 'merah', 'tuhh', ',', 'knpe', 'di', 'cut', 'videonya🤬🤬🤪']","['gw', 'setuju', 'ama', 'abang', 'yg', 'baju', 'merah', 'tuhh', 'knpe', 'cut']","['gw', 'tuju', 'ama', 'abang', 'yg', 'baju', 'merah', 'tuhh', 'knpe', 'cut']",gw tuju ama abang yg baju merah tuhh knpe cut
250,@RizqiBurhanudin-rd1bs,Bang Jefri yang harusnya menang itu soal. Walau bukan wasit juga kelihatan bang Jefri terus mojokin elrumi aneh bener bener2 GK adil,Negatif,bang jefri yang harusnya menang itu soal. walau bukan wasit juga kelihatan bang jefri terus mojokin elrumi aneh bener bener2 gk adil,"['bang', 'jefri', 'yang', 'harusnya', 'menang', 'itu', 'soal', '.', 'walau', 'bukan', 'wasit', 'juga', 'kelihatan', 'bang', 'jefri', 'terus', 'mojokin', 'elrumi', 'aneh', 'bener', 'bener2', 'gk', 'adil']","['bang', 'jefri', 'menang', 'wasit', 'bang', 'jefri', 'mojokin', 'elrumi', 'aneh', 'bener', 'gk', 'adil']","['bang', 'jefri', 'menang', 'wasit', 'bang', 'jefri', 'mojokin', 'elrumi', 'aneh', 'bener', 'gk', 'adil']",bang jefri menang wasit bang jefri mojokin elrumi aneh bener gk adil
252,@yudhilala8727,"Hanya pecundang sejati yg ga terima dngan kekalahan. . 
 Ngefans kok sama pecundang",Negatif,"hanya pecundang sejati yg ga terima dngan kekalahan. . 
 ngefans kok sama pecundang","['hanya', 'pecundang', 'sejati', 'yg', 'ga', 'terima', 'dngan', 'kekalahan', '.', '.', 'ngefans', 'kok', 'sama', 'pecundang']","['pecundang', 'sejati', 'yg', 'ga', 'terima', 'dngan', 'kekalahan', 'ngefans', 'pecundang']","['cundang', 'sejati', 'yg', 'ga', 'terima', 'dngan', 'kalah', 'ngefans', 'cundang']",cundang sejati yg ga terima dngan kalah ngefans cundang
253,@AnjayMabar-vg6un,Seng gelot sopo seng sibuk sopo,Negatif,seng gelot sopo seng sibuk sopo,"['seng', 'gelot', 'sopo', 'seng', 'sibuk', 'sopo']","['seng', 'gelot', 'sopo', 'seng', 'sibuk', 'sopo']","['seng', 'got', 'sopo', 'seng', 'sibuk', 'sopo']",seng got sopo seng sibuk sopo
254,@saktiawanferi1187,Biasa lah.... Wasit dapet angpau tambahan.... Makanya menang sono,Negatif,biasa lah.... wasit dapet angpau tambahan.... makanya menang sono,"['biasa', 'lah', '....', 'wasit', 'dapet', 'angpau', 'tambahan', '....', 'makanya', 'menang', 'sono']","['wasit', 'dapet', 'angpau', 'tambahan', 'menang', 'sono']","['wasit', 'dapet', 'angpau', 'tambah', 'menang', 'sono']",wasit dapet angpau tambah menang sono
255,@nurhayanihasibuan1362,"Harus ny wasit nya dari pemain tinju pro , bukan kalangan orang2 ngantuk 😂😂",Negatif,"harus ny wasit nya dari pemain tinju pro , bukan kalangan orang2 ngantuk 😂😂","['harus', 'ny', 'wasit', 'nya', 'dari', 'pemain', 'tinju', 'pro', ',', 'bukan', 'kalangan', 'orang2', 'ngantuk', '😂😂']","['ny', 'wasit', 'nya', 'pemain', 'tinju', 'pro', 'kalangan', 'ngantuk']","['ny', 'wasit', 'nya', 'main', 'tinju', 'pro', 'kalang', 'ngantuk']",ny wasit nya main tinju pro kalang ngantuk
256,@andikotarigan4382,Yang kalah menyalahkan yang menang merayakan :”,Negatif,yang kalah menyalahkan yang menang merayakan :”,"['yang', 'kalah', 'menyalahkan', 'yang', 'menang', 'merayakan', ':', '”']","['kalah', 'menyalahkan', 'menang', 'merayakan']","['kalah', 'salah', 'menang', 'raya']",kalah salah menang raya
257,@user-ue8tn5nx9q,Jurix sudah dikasih makan sma ahmad dani 😂,Negatif,jurix sudah dikasih makan sma ahmad dani 😂,"['jurix', 'sudah', 'dikasih', 'makan', 'sma', 'ahmad', 'dani', '😂']","['jurix', 'dikasih', 'makan', 'sma', 'ahmad', 'dani']","['jurix', 'kasih', 'makan', 'sma', 'ahmad', 'dan']",jurix kasih makan sma ahmad dan
260,@suhesuherman7300,Asli nya jefri nicol yg menanh,Positif,asli nya jefri nicol yg menanh,"['asli', 'nya', 'jefri', 'nicol', 'yg', 'menanh']","['asli', 'nya', 'jefri', 'nicol', 'yg', 'menanh']","['asli', 'nya', 'jefri', 'nicol', 'yg', 'menanh']",asli nya jefri nicol yg menanh
261,@saefuldkcilacap4099,Betul jefry yg menang.juri temen2 dani,Positif,betul jefry yg menang.juri temen2 dani,"['betul', 'jefry', 'yg', 'menang.juri', 'temen2', 'dani']","['jefry', 'yg', 'dani']","['jefry', 'yg', 'dan']",jefry yg dan
262,@sdn.243.palembangmaskarebe5,Rudi golden sok,Positif,rudi golden sok,"['rudi', 'golden', 'sok']","['rudi', 'golden', 'sok']","['rudi', 'golden', 'sok']",rudi golden sok
263,@wayanknirwana6990,Tanding ulang sya nunggu nonton,Positif,tanding ulang sya nunggu nonton,"['tanding', 'ulang', 'sya', 'nunggu', 'nonton']","['tanding', 'ulang', 'sya', 'nunggu', 'nonton']","['tanding', 'ulang', 'sya', 'nunggu', 'nonton']",tanding ulang sya nunggu nonton
264,@Fanta_Axl18,"Ini benar"" gak jelassss",Negatif,"ini benar"" gak jelassss","['ini', 'benar', ""''"", 'gak', 'jelassss']","['gak', 'jelassss']","['gak', 'jelassss']",gak jelassss
265,@limggaming8020,Yg protes emng kalah taruhan kayaknya 😂😂,Negatif,yg protes emng kalah taruhan kayaknya 😂😂,"['yg', 'protes', 'emng', 'kalah', 'taruhan', 'kayaknya', '😂😂']","['yg', 'protes', 'emng', 'kalah', 'taruhan', 'kayaknya']","['yg', 'protes', 'emng', 'kalah', 'taruh', 'kayak']",yg protes emng kalah taruh kayak
266,@viewerreal3402,yg bener itu kata rudy golden boy & abidzar,Positif,yg bener itu kata rudy golden boy & abidzar,"['yg', 'bener', 'itu', 'kata', 'rudy', 'golden', 'boy', '&', 'abidzar']","['yg', 'bener', 'rudy', 'golden', 'boy', 'abidzar']","['yg', 'bener', 'rudy', 'golden', 'boy', 'abidzar']",yg bener rudy golden boy abidzar
267,@tqbussines8143,Kontent ga bermutu. Kalah ya kalah aja. Dek,Negatif,kontent ga bermutu. kalah ya kalah aja. dek,"['kontent', 'ga', 'bermutu', '.', 'kalah', 'ya', 'kalah', 'aja', '.', 'dek']","['kontent', 'ga', 'bermutu', 'kalah', 'ya', 'kalah', 'aja', 'dek']","['kontent', 'ga', 'mutu', 'kalah', 'ya', 'kalah', 'aja', 'dek']",kontent ga mutu kalah ya kalah aja dek
268,@bobymashartoyo7046,Kekalahan slalu menyalahkan siapa yg menang..,Negatif,kekalahan slalu menyalahkan siapa yg menang..,"['kekalahan', 'slalu', 'menyalahkan', 'siapa', 'yg', 'menang', '..']","['kekalahan', 'slalu', 'menyalahkan', 'yg', 'menang']","['kalah', 'slalu', 'salah', 'yg', 'menang']",kalah slalu salah yg menang
269,@kg-tx7qd,Abizar ngerti apa lu bocah?,Negatif,abizar ngerti apa lu bocah?,"['abizar', 'ngerti', 'apa', 'lu', 'bocah', '?']","['abizar', 'ngerti', 'lu', 'bocah']","['abizar', 'ngerti', 'lu', 'bocah']",abizar ngerti lu bocah
270,@kodriabdallah9424,Memang el rumi lah yg menang,Positif,memang el rumi lah yg menang,"['memang', 'el', 'rumi', 'lah', 'yg', 'menang']","['el', 'rumi', 'yg', 'menang']","['el', 'rumi', 'yg', 'menang']",el rumi yg menang
271,@sakazhit9295,"Yealah si botakkk😀klo gak pakek pengaman muka,dari awal sudah nyungsep anak lu",Negatif,"yealah si botakkk😀klo gak pakek pengaman muka,dari awal sudah nyungsep anak lu","['yealah', 'si', 'botakkk😀klo', 'gak', 'pakek', 'pengaman', 'muka', ',', 'dari', 'awal', 'sudah', 'nyungsep', 'anak', 'lu']","['yealah', 'si', 'gak', 'pakek', 'pengaman', 'muka', 'nyungsep', 'anak', 'lu']","['yealah', 'si', 'gak', 'pakek', 'kam', 'muka', 'nyungsep', 'anak', 'lu']",yealah si gak pakek kam muka nyungsep anak lu
272,@user-qm5vx3xs7r,Jurine compong lihat nya Randa dowang ngga lihat...,Negatif,jurine compong lihat nya randa dowang ngga lihat...,"['jurine', 'compong', 'lihat', 'nya', 'randa', 'dowang', 'ngga', 'lihat', '...']","['jurine', 'compong', 'lihat', 'nya', 'randa', 'dowang', 'ngga', 'lihat']","['jurine', 'compong', 'lihat', 'nya', 'randa', 'dowang', 'ngga', 'lihat']",jurine compong lihat nya randa dowang ngga lihat
273,@afiddedi127,Para teman2 jefri gak terima,Negatif,para teman2 jefri gak terima,"['para', 'teman2', 'jefri', 'gak', 'terima']","['jefri', 'gak', 'terima']","['jefri', 'gak', 'terima']",jefri gak terima
274,@afiddedi127,Nggak ada uang masuk kejuri bos ....telusuri aja sekalian bawa kpk...usut kalo ada uang kejuri...kalo nggak ada loe berarti penganut dajjal raja fitnah keji,Negatif,nggak ada uang masuk kejuri bos ....telusuri aja sekalian bawa kpk...usut kalo ada uang kejuri...kalo nggak ada loe berarti penganut dajjal raja fitnah keji,"['nggak', 'ada', 'uang', 'masuk', 'kejuri', 'bos', '....', 'telusuri', 'aja', 'sekalian', 'bawa', 'kpk', '...', 'usut', 'kalo', 'ada', 'uang', 'kejuri', '...', 'kalo', 'nggak', 'ada', 'loe', 'berarti', 'penganut', 'dajjal', 'raja', 'fitnah', 'keji']","['nggak', 'uang', 'masuk', 'kejuri', 'bos', 'telusuri', 'aja', 'bawa', 'kpk', 'usut', 'kalo', 'uang', 'kejuri', 'kalo', 'nggak', 'loe', 'penganut', 'dajjal', 'raja', 'fitnah', 'keji']","['nggak', 'uang', 'masuk', 'kejur', 'bos', 'telusur', 'aja', 'bawa', 'kpk', 'usut', 'kalo', 'uang', 'kejur', 'kalo', 'nggak', 'loe', 'anut', 'dajjal', 'raja', 'fitnah', 'keji']",nggak uang masuk kejur bos telusur aja bawa kpk usut kalo uang kejur kalo nggak loe anut dajjal raja fitnah keji
275,@BUDIYANTOYanto-eb2up,Tinju itu bukan hanya agresif memukul...tapi ada aspek lain yaitu pukulan yang masuk bukan hanya banyak memukul...kalau menurut saya pukulan El Rumi lebih banyak masuk,Positif,tinju itu bukan hanya agresif memukul...tapi ada aspek lain yaitu pukulan yang masuk bukan hanya banyak memukul...kalau menurut saya pukulan el rumi lebih banyak masuk,"['tinju', 'itu', 'bukan', 'hanya', 'agresif', 'memukul', '...', 'tapi', 'ada', 'aspek', 'lain', 'yaitu', 'pukulan', 'yang', 'masuk', 'bukan', 'hanya', 'banyak', 'memukul', '...', 'kalau', 'menurut', 'saya', 'pukulan', 'el', 'rumi', 'lebih', 'banyak', 'masuk']","['tinju', 'agresif', 'memukul', 'aspek', 'pukulan', 'masuk', 'memukul', 'pukulan', 'el', 'rumi', 'masuk']","['tinju', 'agresif', 'pukul', 'aspek', 'pukul', 'masuk', 'pukul', 'pukul', 'el', 'rumi', 'masuk']",tinju agresif pukul aspek pukul masuk pukul pukul el rumi masuk
276,@teddyminato3081,"ku bukan penggemar keduanya .tapi ku sukak tinju dan MMA.stelah ku tonton kek nya yg menang jefri deh.makanya aku terkejut kok yg menang kebalik.pukulan jefri banyak yg masuk dan telak.ah ,bingung lah .mau nya kasi kan juri nya org luar negeri dari juri 1 ,2,3,4 dan juri di lapangan .baru jelas.siapa yg menang",Negatif,"ku bukan penggemar keduanya .tapi ku sukak tinju dan mma.stelah ku tonton kek nya yg menang jefri deh.makanya aku terkejut kok yg menang kebalik.pukulan jefri banyak yg masuk dan telak.ah ,bingung lah .mau nya kasi kan juri nya org luar negeri dari juri 1 ,2,3,4 dan juri di lapangan .baru jelas.siapa yg menang","['ku', 'bukan', 'penggemar', 'keduanya', '.tapi', 'ku', 'sukak', 'tinju', 'dan', 'mma.stelah', 'ku', 'tonton', 'kek', 'nya', 'yg', 'menang', 'jefri', 'deh.makanya', 'aku', 'terkejut', 'kok', 'yg', 'menang', 'kebalik.pukulan', 'jefri', 'banyak', 'yg', 'masuk', 'dan', 'telak.ah', ',', 'bingung', 'lah', '.mau', 'nya', 'kasi', 'kan', 'juri', 'nya', 'org', 'luar', 'negeri', 'dari', 'juri', '1', ',2,3,4', 'dan', 'juri', 'di', 'lapangan', '.baru', 'jelas.siapa', 'yg', 'menang']","['ku', 'penggemar', 'ku', 'sukak', 'tinju', 'ku', 'tonton', 'kek', 'nya', 'yg', 'menang', 'jefri', 'terkejut', 'yg', 'menang', 'jefri', 'yg', 'masuk', 'bingung', 'nya', 'kasi', 'juri', 'nya', 'org', 'negeri', 'juri', 'juri', 'lapangan', 'yg', 'menang']","['ku', 'gemar', 'ku', 'sukak', 'tinju', 'ku', 'tonton', 'kek', 'nya', 'yg', 'menang', 'jefri', 'kejut', 'yg', 'menang', 'jefri', 'yg', 'masuk', 'bingung', 'nya', 'kasi', 'juri', 'nya', 'org', 'negeri', 'juri', 'juri', 'lapang', 'yg', 'menang']",ku gemar ku sukak tinju ku tonton kek nya yg menang jefri kejut yg menang jefri yg masuk bingung nya kasi juri nya org negeri juri juri lapang yg menang
277,@Themadeaswin,"El rumi masih lebih baik drpda jeffri nicol, pukulan jeffri emang lebih bagus tapi banyakan zonknya, el rumi jab2nya menghasilkan byk point",Positif,"el rumi masih lebih baik drpda jeffri nicol, pukulan jeffri emang lebih bagus tapi banyakan zonknya, el rumi jab2nya menghasilkan byk point","['el', 'rumi', 'masih', 'lebih', 'baik', 'drpda', 'jeffri', 'nicol', ',', 'pukulan', 'jeffri', 'emang', 'lebih', 'bagus', 'tapi', 'banyakan', 'zonknya', ',', 'el', 'rumi', 'jab2nya', 'menghasilkan', 'byk', 'point']","['el', 'rumi', 'drpda', 'jeffri', 'nicol', 'pukulan', 'jeffri', 'emang', 'bagus', 'banyakan', 'zonknya', 'el', 'rumi', 'menghasilkan', 'byk', 'point']","['el', 'rumi', 'drpda', 'jeffri', 'nicol', 'pukul', 'jeffri', 'emang', 'bagus', 'banyak', 'zonknya', 'el', 'rumi', 'hasil', 'byk', 'point']",el rumi drpda jeffri nicol pukul jeffri emang bagus banyak zonknya el rumi hasil byk point
278,@tzrff8442,Jelas kalah jefri,Negatif,jelas kalah jefri,"['jelas', 'kalah', 'jefri']","['kalah', 'jefri']","['kalah', 'jefri']",kalah jefri
279,@bihannakal5038,Setuju sih harusnya jefri yg menang,Negatif,setuju sih harusnya jefri yg menang,"['setuju', 'sih', 'harusnya', 'jefri', 'yg', 'menang']","['setuju', 'sih', 'jefri', 'yg', 'menang']","['tuju', 'sih', 'jefri', 'yg', 'menang']",tuju sih jefri yg menang
280,@bulangbiring7589,"Namanya juga negara konoha, jurinya sama aja sama koruptor.... 

😂😂😂",Negatif,"namanya juga negara konoha, jurinya sama aja sama koruptor.... 

😂😂😂","['namanya', 'juga', 'negara', 'konoha', ',', 'jurinya', 'sama', 'aja', 'sama', 'koruptor', '....', '😂😂😂']","['namanya', 'negara', 'konoha', 'jurinya', 'aja', 'koruptor']","['nama', 'negara', 'konoha', 'juri', 'aja', 'koruptor']",nama negara konoha juri aja koruptor
282,@ajirohimin7509,"Udh jelas lah Jefri yg menang bukan El 
Ini sih Jefri di curangi",Negatif,"udh jelas lah jefri yg menang bukan el 
ini sih jefri di curangi","['udh', 'jelas', 'lah', 'jefri', 'yg', 'menang', 'bukan', 'el', 'ini', 'sih', 'jefri', 'di', 'curangi']","['udh', 'jefri', 'yg', 'menang', 'el', 'sih', 'jefri', 'curangi']","['udh', 'jefri', 'yg', 'menang', 'el', 'sih', 'jefri', 'curang']",udh jefri yg menang el sih jefri curang
283,@rismawancikulak8752,Lawak udah jelas kalah masih ajah koar koar ..siapa tuh yg bilang orang buta jiga tau pemenangnya jeffri ...woy lu bilang ky gtu dama halnya meledek karna dimana2 orang buta gak bisa melihat ...emang kalo lg emosi keliatan bodohnya,Negatif,lawak udah jelas kalah masih ajah koar koar ..siapa tuh yg bilang orang buta jiga tau pemenangnya jeffri ...woy lu bilang ky gtu dama halnya meledek karna dimana2 orang buta gak bisa melihat ...emang kalo lg emosi keliatan bodohnya,"['lawak', 'udah', 'jelas', 'kalah', 'masih', 'ajah', 'koar', 'koar', '..', 'siapa', 'tuh', 'yg', 'bilang', 'orang', 'buta', 'jiga', 'tau', 'pemenangnya', 'jeffri', '...', 'woy', 'lu', 'bilang', 'ky', 'gtu', 'dama', 'halnya', 'meledek', 'karna', 'dimana2', 'orang', 'buta', 'gak', 'bisa', 'melihat', '...', 'emang', 'kalo', 'lg', 'emosi', 'keliatan', 'bodohnya']","['lawak', 'udah', 'kalah', 'ajah', 'koar', 'koar', 'tuh', 'yg', 'bilang', 'orang', 'buta', 'jiga', 'tau', 'pemenangnya', 'jeffri', 'woy', 'lu', 'bilang', 'ky', 'gtu', 'dama', 'halnya', 'meledek', 'karna', 'orang', 'buta', 'gak', 'emang', 'kalo', 'lg', 'emosi', 'keliatan', 'bodohnya']","['lawak', 'udah', 'kalah', 'ajah', 'koar', 'koar', 'tuh', 'yg', 'bilang', 'orang', 'buta', 'jiga', 'tau', 'menang', 'jeffri', 'woy', 'lu', 'bilang', 'ky', 'gtu', 'dama', 'hal', 'ledek', 'karna', 'orang', 'buta', 'gak', 'emang', 'kalo', 'lg', 'emosi', 'liat', 'bodoh']",lawak udah kalah ajah koar koar tuh yg bilang orang buta jiga tau menang jeffri woy lu bilang ky gtu dama hal ledek karna orang buta gak emang kalo lg emosi liat bodoh
284,@Pengaranghandal5521,"Fighternya bukan profesional boxer, acaranya juga. Caster nya tarkam, ngapain juga ngarep pake wasit yg adil. Toh isinya cman influencer, tujuannya cuan bukan yg lain",Negatif,"fighternya bukan profesional boxer, acaranya juga. caster nya tarkam, ngapain juga ngarep pake wasit yg adil. toh isinya cman influencer, tujuannya cuan bukan yg lain","['fighternya', 'bukan', 'profesional', 'boxer', ',', 'acaranya', 'juga', '.', 'caster', 'nya', 'tarkam', ',', 'ngapain', 'juga', 'ngarep', 'pake', 'wasit', 'yg', 'adil', '.', 'toh', 'isinya', 'cman', 'influencer', ',', 'tujuannya', 'cuan', 'bukan', 'yg', 'lain']","['fighternya', 'profesional', 'boxer', 'acaranya', 'caster', 'nya', 'tarkam', 'ngapain', 'ngarep', 'pake', 'wasit', 'yg', 'adil', 'isinya', 'cman', 'influencer', 'tujuannya', 'cuan', 'yg']","['fighternya', 'profesional', 'boxer', 'acara', 'caster', 'nya', 'tarkam', 'ngapain', 'ngarep', 'pake', 'wasit', 'yg', 'adil', 'isi', 'cman', 'influencer', 'tuju', 'cuan', 'yg']",fighternya profesional boxer acara caster nya tarkam ngapain ngarep pake wasit yg adil isi cman influencer tuju cuan yg
285,@thebliq1661,Uang ahmad dani ga main2 bro wkwk.,Negatif,uang ahmad dani ga main2 bro wkwk.,"['uang', 'ahmad', 'dani', 'ga', 'main2', 'bro', 'wkwk', '.']","['uang', 'ahmad', 'dani', 'ga', 'bro', 'wkwk']","['uang', 'ahmad', 'dan', 'ga', 'bro', 'wkwk']",uang ahmad dan ga bro wkwk
286,@zunaidin,"Lawak lawak bikin malu😂,jelas pukulan jefrinicol banyak masuk malah kalah point😂😂",Negatif,"lawak lawak bikin malu😂,jelas pukulan jefrinicol banyak masuk malah kalah point😂😂","['lawak', 'lawak', 'bikin', 'malu😂', ',', 'jelas', 'pukulan', 'jefrinicol', 'banyak', 'masuk', 'malah', 'kalah', 'point😂😂']","['lawak', 'lawak', 'bikin', 'pukulan', 'jefrinicol', 'masuk', 'kalah']","['lawak', 'lawak', 'bikin', 'pukul', 'jefrinicol', 'masuk', 'kalah']",lawak lawak bikin pukul jefrinicol masuk kalah
